产量/t,场景,异常指标,方向,指标值,箱线图下界,箱线图上界,吨氨成本/元,购电/MWh,上网/MWh,自发自用占比,绿电比例,上网比例,判定
72,W6P1,上网/MWh,偏高,90.8262,-44.6862,74.477,6578.551456944445,431.7862,90.8262,0.7462104616072424,0.5913901506548567,0.12689476919637868,全满足
72,W1P1,自发自用占比,偏低,0.6447088599618778,0.7755201827294674,1.1346878903623185,6495.532227777778,430.28,135.324,0.6447088599618778,0.5928155045802104,0.17764557001906106,全满足
72,W2P1,自发自用占比,偏低,0.7279967946772214,0.7755201827294674,1.1346878903623185,6901.383894444445,487.42799999999994,89.61199999999998,0.7279967946772214,0.5387349534408359,0.1360016026613892,全满足
72,W3P1,自发自用占比,偏低,0.676327544695456,0.7755201827294674,1.1346878903623185,6347.782804166667,402.2482,126.36819999999999,0.676327544695456,0.6193426830191536,0.1618362276522719,全满足
72,W4P1,自发自用占比,偏低,0.6038288380749071,0.7755201827294674,1.1346878903623185,6001.41146388889,353.50199999999995,173.706,0.6038288380749071,0.6654724051782877,0.19808558096254636,全满足
72,W5P1,自发自用占比,偏低,0.6127890459105219,0.7755201827294674,1.1346878903623185,6243.642109722223,395.9442,158.64419999999998,0.6127890459105219,0.625308312514195,0.19360547704473893,全满足
72,W6P1,自发自用占比,偏低,0.7462104616072424,0.7755201827294674,1.1346878903623185,6578.551456944445,431.7862,90.8262,0.7462104616072424,0.5913901506548567,0.12689476919637868,全满足
72,W1P1,上网比例,偏高,0.17764557001906106,-0.06734394518115994,0.11223990863526656,6495.532227777778,430.28,135.324,0.6447088599618778,0.5928155045802104,0.17764557001906106,全满足
72,W2P1,上网比例,偏高,0.1360016026613892,-0.06734394518115994,0.11223990863526656,6901.383894444445,487.42799999999994,89.61199999999998,0.7279967946772214,0.5387349534408359,0.1360016026613892,全满足
72,W3P1,上网比例,偏高,0.1618362276522719,-0.06734394518115994,0.11223990863526656,6347.782804166667,402.2482,126.36819999999999,0.676327544695456,0.6193426830191536,0.1618362276522719,全满足
72,W4P1,上网比例,偏高,0.19808558096254636,-0.06734394518115994,0.11223990863526656,6001.41146388889,353.50199999999995,173.706,0.6038288380749071,0.6654724051782877,0.19808558096254636,全满足
72,W5P1,上网比例,偏高,0.19360547704473893,-0.06734394518115994,0.11223990863526656,6243.642109722223,395.9442,158.64419999999998,0.6127890459105219,0.625308312514195,0.19360547704473893,全满足
72,W6P1,上网比例,偏高,0.12689476919637868,-0.06734394518115994,0.11223990863526656,6578.551456944445,431.7862,90.8262,0.7462104616072424,0.5913901506548567,0.12689476919637868,全满足
