储能/MWh,产量/t,吨氨成本/元,弃电/MWh,分支节点数
64,50.58773774345504,5806.891600501271,102.32768257014679,3
65,50.65227906185608,5805.670571091942,101.20871145946495,3
66,50.71682038025712,5804.45286107086,100.08866683661851,3
67,50.78136169865816,5803.238246382694,98.96862221377211,3
68,50.8459030170592,5802.026715240249,97.84857759092564,3
69,50.91044433546024,5800.818255916101,96.72853296807918,3
70,50.97498565386128,5799.61285674222,95.60848834523276,3
71,51.03952697226234,5798.410506109597,94.48844372238631,3
72,51.10406829066336,5797.211192467868,93.36839909953986,3
73,51.168609609064404,5796.014904324945,92.24835447669344,3
74,51.233150927465445,5794.821630246646,91.12830985384699,3
75,51.297692245866486,5793.63135885634,90.00826523100054,3
76,51.36223356426753,5792.444078834571,88.88822060815411,3
77,51.42677488266858,5791.259778918713,87.76817598530766,3
78,51.49131620106961,5790.078447902609,86.6481313624612,3
79,51.55585751947066,5788.900074636209,85.52808673961479,3
80,51.62039883787169,5787.724648025241,84.40804211676834,3
81,51.684940156272745,5786.552157030828,83.28799749392188,3
82,51.74948147467377,5785.382590669187,82.16795287107547,3
83,51.81402279307483,5784.215938011243,81.04790824822902,3
84,51.87856411147585,5783.052188182318,79.92786362538256,3
85,51.94310542987691,5781.89156492588,78.80660060374362,3
86,52.007646748277935,5780.734019641943,77.68431140249467,3
87,52.07218806667899,5779.5793438167875,76.56202220124572,3
88,52.13672938508002,5778.427526793901,75.43973299999678,3
89,52.20127070348107,5777.2785579694655,74.31744379874783,3
90,52.2658120218821,5776.132426792046,73.19515459749891,3
91,52.33035334028315,5774.989122762257,72.07286539624997,3
92,52.394894658684194,5773.848635432449,70.95057619500102,3
93,52.459435977085235,5772.710954406389,69.8282869937521,3
94,52.523977295486276,5771.576069338944,68.70599779250315,3
95,52.58851861388732,5770.44396993576,67.58370859125421,3
96,52.65305993228836,5769.314645952966,66.46141939000529,3
97,52.7176012506894,5768.1880871968515,65.33913018875634,3
98,52.78214256909044,5767.0642835235685,64.2168409875074,3
99,52.84668388749148,5765.943224838819,63.09455178625844,3
100,52.91122520589252,5764.824958492228,61.97195890281515,3
101,52.97576021534135,5763.710255505441,60.8474206250106,1
102,53.0401724511056,5762.607423531151,59.722882347206074,1
103,53.104584686869835,5761.507266876648,58.5983440694015,1
