场景,产量/t,吨氨成本/元_离散,购电/MWh_离散,上网/MWh_离散,自发自用占比_离散,绿电比例_离散,上网比例_离散,判定_离散,开机小时数,开机小时,吨氨成本/元_连续,购电/MWh_连续,上网/MWh_连续,自发自用占比_连续,绿电比例_连续,上网比例_连续,判定_连续,平均负荷率,最小负荷率,最大负荷率,吨氨成本差_离散减连续
W2P2,54,7544.192081481481,424.91200000000003,17.536,0.9123953400075934,0.47393651265289954,0.04380232999620326,全满足,18,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,23",7367.703692592592,407.53999999999996,0.16399999999999437,0.9991807045940492,0.4954439657306988,0.000409647702975427,全满足,0.75,0.1,1.0,176.48838888888895
W2P2,45,7232.016184444444,351.27419999999995,68.3982,0.658302859540795,0.4858549222797928,0.17084857022960254,全满足,15,"0,1,2,3,4,5,6,9,11,12,13,14,15,16,23",6862.8828511111105,290.71220000000005,7.836199999999998,0.960852666706632,0.5744969409560611,0.019573666646683845,全满足,0.625,0.1,1.0,369.1333333333332
W2P2,36,6926.657480555556,298.45219999999995,140.0762,0.3002208101033113,0.46582867983963355,0.3498895949483444,部分满足,12,"0,1,2,3,4,5,6,12,13,14,15,23",6854.782730555555,290.71220000000005,132.33620000000002,0.33888755670123677,0.47968177262313866,0.33055622164938153,部分满足,0.5,0.1,1.0,71.87475000000086
W2P3,72,9835.84521388889,822.136,0.0,0.9999999999999992,0.22199258081611029,0.0,部分满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",9835.84521388889,822.136,0.0,0.9999999999999992,0.22199258081611029,0.0,部分满足,1.0,1.0,1.0,0.0
W2P3,63,9468.122211111111,705.2182,7.5822,0.9353562050267707,0.24350668297183067,0.032321897486614605,部分满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23",9417.032625396827,697.636,0.0,1.0000000000000002,0.2516401707751389,0.0,部分满足,0.875,0.11,1.0,51.08958571428411
W2P3,54,9199.61669074074,616.5142000000001,43.3782,0.6301691504961974,0.23672287426335858,0.18491542475190123,部分满足,18,"0,1,2,3,4,5,6,7,8,9,13,14,15,16,17,21,22,23",8862.457062962963,573.434,0.29799999999999827,0.9974593322647753,0.29005843609171494,0.001270333867612447,部分满足,0.75,0.1,1.0,337.15962777777713
W2P3,45,8990.677115555554,526.4464,77.8104,0.33660948743307295,0.22946283773894205,0.33169525628346347,全不满足,15,"0,1,2,3,4,5,6,7,8,9,15,16,17,22,23",8620.941808888889,448.93399999999997,0.29799999999999827,0.9974593322647753,0.3429144345891514,0.001270333867612447,全满足,0.625,0.1,1.0,369.73530666666556
W2P3,36,8784.919561111112,411.9984,87.86240000000001,0.25090884288783555,0.26260309278350513,0.3745455785560823,全不满足,12,"0,1,2,3,4,5,6,9,15,16,17,23",8258.668927777777,324.434,0.29799999999999827,0.9974593322647751,0.41932631729667813,0.001270333867612447,全满足,0.5,0.1,1.0,526.2506333333349
W2P4,72,10384.35543611111,886.7760000000001,0.0,0.9999999999999983,0.16082216670451968,0.0,部分满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",10384.35543611111,886.7760000000001,0.0,0.9999999999999983,0.16082216670451968,0.0,部分满足,1.0,1.0,1.0,0.0
W2P4,63,10066.513150793651,765.6318,3.3558,0.9605069905380598,0.17870052133616532,0.0197465047309702,部分满足,21,"0,1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,18,19,21,22,23",10043.90145079365,762.276,0.0,1.0000000000000004,0.18230031537619876,0.0,部分满足,0.875,0.11,1.0,22.611700000001292
W2P4,54,9709.594764814816,652.9942,15.2182,0.8209033563997554,0.1915587084633289,0.08954832180012239,部分满足,18,"0,1,2,3,4,5,6,7,8,9,13,14,15,16,17,21,22,23",9589.962803703704,637.7760000000001,0.0,0.9999999999999997,0.21039964344079634,0.0,部分满足,0.75,0.11,1.0,119.6319611111121
W2P4,45,9481.904137777778,550.1264,36.8504,0.5663230240549829,0.19480343081291532,0.21683848797250857,全不满足,15,"0,1,2,3,4,5,6,7,8,9,15,16,17,22,23",9346.179384444444,513.4342,0.158199999999999,0.9981382102339593,0.2485082403910893,0.0009308948830202831,部分满足,0.625,0.1,1.0,135.72475333333387
