场景,产量/t,吨氨成本/元,购电/MWh,上网/MWh,自发自用占比,绿电比例,上网比例,判定,开机小时数,开机小时
W5P3,36,7526.793374695586,320.6582,157.03820000000002,0.20507112123513002,0.4260842640320734,0.39746443938243486,部分满足,12,"0,1,2,3,4,5,6,8,9,15,16,23"
W5P4,72,9396.06281373668,726.26,0.0,0.9999999999999997,0.312722386251798,0.0,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W5P4,63,9064.968039508587,624.1022,22.3422,0.8647812140652426,0.33052047799875556,0.06760939296737882,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W5P4,54,8709.88308498224,532.932,55.672000000000004,0.663063608303577,0.34020205021542105,0.16846819584821163,全满足,18,"0,1,2,3,4,5,6,7,8,9,12,13,15,16,17,21,22,23"
W5P4,45,8407.533408645359,445.4784,92.7184,0.43885250862434194,0.3479722490559409,0.28057374568782917,部分满足,15,"0,1,2,3,4,5,6,7,8,9,15,16,17,21,23"
W5P4,36,8103.507902473363,338.4842,110.2242,0.33290443624039207,0.3941791953035509,0.333547781879804,部分满足,12,"0,1,2,3,4,5,6,8,9,16,21,23"
W6P1,72,6563.3307567922375,431.7862,90.8262,0.7462104616072424,0.5913901506548567,0.12689476919637868,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W6P1,63,5893.808926810176,339.4604,123.0004,0.6563082597518722,0.6358580592563987,0.17184587012406394,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W6P1,54,5378.269025722984,257.4304,165.47039999999998,0.5376371968257514,0.6812875749021939,0.23118140158712416,部分满足,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,23"
W6P1,45,5002.220744200913,243.1862,275.7262,0.2295568346931933,0.6440587219343695,0.3852215826534034,部分满足,15,"0,1,2,3,4,5,6,8,9,11,12,13,14,15,23"
W6P1,36,4528.955096917807,243.1862,400.2262,-0.11832513691740243,0.5647440578465063,0.5591625684587013,部分满足,12,"0,1,2,3,4,5,6,9,11,13,14,23"
W6P2,72,8086.902035958903,599.52,0.0,0.9999999999999996,0.43265955030660924,0.0,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W6P2,63,7578.972293476842,498.8742,23.854200000000002,0.8956509186351707,0.46485357533629407,0.0521745406824147,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W6P2,54,7261.764753500761,397.4258,46.9058,0.7948127734033246,0.507965879265092,0.1025936132983377,全满足,18,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,23"
W6P2,45,6934.036857534246,331.216,105.196,0.539825021872266,0.5152132548812974,0.230087489063867,部分满足,15,"0,1,2,3,4,5,6,9,11,12,13,14,15,16,23"
W6P2,36,6593.186988584475,283.01,181.49,0.2060804899387577,0.4934672107674685,0.39695975503062114,部分满足,12,"0,1,2,3,4,5,6,12,13,14,15,23"
